Date,Type,Surface,Loyer,Ville,Gestion,Etat,Cuisine,Commentaire
20/11/2020,T3,64,478,Châtellerault,SEM Habitat,moyen,non,
20/11/2020,T3,67,565,Châtellerault,SEM Habitat,moyen,non,
20/11/2020,T3,68,515,Châtellerault,SEM Habitat,moyen,non,
18/11/2020,T2,45,450,Neuville,ADP Immo,moyen,oui,
18/11/2020,T2,50,380,Neuville,jerome sauvetre,moyen,oui,
17/11/2020,T2,44,468,Châtellerault,Pro,moyen,non,
17/11/2020,T2,30,250,Lencloitre,savoyantdamien,,,
17/11/2020,T2,52,377,Châtellerault,Pro,moyen,non,
17/11/2020,T5,82,543,Châtellerault,Pro,-,-,
17/11/2020,T2,30,240,Lencloitre,savoyantdamien,moyen,non,
15/11/2020,T3,74,529,Châtellerault,Pro,moyen,non,
15/11/2020,T3,72,620,Châtellerault,cat121,Bien,oui,
15/11/2020,T2,42,370,Châtellerault,Monique Girault,Moyen,non,
15/11/2020,T2,28,325,Châtellerault,Monique Girault,vieux,non,
16/11/2020,T2,67,420,Châtellerault,Pro,vieux,non,
17/11/2020,T2,58,434,Châtellerault,olivier,Bien,oui,
15/11/2020,T3,63,500,Châtellerault,Denis,Bien,oui,
15/11/2020,T3,61,566,Châtellerault,Pro,Bien,non,
15/11/2020,T3,58,350,Mirebeau,Pro,moyen,non,
15/11/2020,T3,50,510,Châtellerault,carol,Bien,non,
15/11/2020,T2,48,410,Neuville,Pro,-,-,
14/11/2020,T2,40,385,Châtellerault,Orely,Moyen,non,
13/11/2020,T3,58,450,Châtellerault,Mistral,Rénové,oui,
12/11/2020,T1,35,300,Châtellerault,Pro,Moyen,non,
12/11/2020,T1,30,350,Châtellerault,Arnaud,Moyen,non,
12/11/2020,T4,70,495,Châtellerault,Tarriere 86,Moyen,non,
12/11/2020,T3,68,485,Châtellerault,Pro,Bien,oui,
11/11/2020,T3,85,460,Lencloitre,Pro,Moyen,non,
11/11/2020,T2,42,324,Lencloitre,Pro,Moyen,non,
10/11/2020,T2,34,420,Châtellerault,Pro,Bien,oui,
10/11/2020,T2,55,430,Châtellerault,Pro,Moyen,oui,
10/11/2020,T4,79,640,Châtellerault,Pro,Bien,oui,
10/11/2020,T2,34,380,Châtellerault,Pro,Bien,oui,
10/11/2020,T3,54,595,Châtellerault,Pro,Bien,oui,Jardin 200m2
10/11/2020,T3,50,514,Châtellerault,Pro,Bien,oui,
09/11/2020,T3,56,450,Châtellerault,stive,Rénové,oui,Très mansardé
09/11/2020,T3,63,515,Châtellerault,aurelien,Rénové ,oui,
09/11/2020,T2,42,400,Châtellerault,barbeyrol,Rénové,oui,
09/11/2020,T2,28,485,Châtellerault,Mr Vincent,Rénové,oui,Terrase bois
08/11/2020,T3,63,500,Châtellerault,Pro,Bien,oui,
08/11/2020,T2,34,360,Châtellerault,Particulier,Bien,oui,
08/11/2020,T2,46,455,Châtellerault,Particulier,Bien,non,
08/11/2020,T2,36,336,Châtellerault,Pro,Moyen,non,
08/11/2020,T3,56,405,Châtellerault,Pro,,,
07/11/2020,T2,37,478,Neuville,Particulier,Rénové,oui,
07/11/2020,T3,55,600,Migné-Auxance,SCI Invest,Rénové,oui,
26/10/2020,T3,70,540,Neuville,Particulier,Moyen,non,
22/10/2020,T1,21,370,Avanton,Particulier,Moyen,non,
21/10/2020,T4,73,517,Scorbé,Particulier,Moyen,non,
21/10/2020,T2,52,435,St-Martin-laPallu,Particulier,Moyen,non,
21/10/2020,T3,54,375,Mazeuil,Pro,Bien,oui,
18/10/2020,T2,37,488,Neuville,Particulier,Bien,oui,
18/10/2020,T2,60,540,Vouillé,Pro,Bien,oui,
14/10/2020,T3,60,410,Neuville,Pro,Bien,non,
13/10/2020,T2,47,441,Neuville,Pro,Moyen,non,
02/10/2020,T3,44,354,Lencloitre,Pro,Moyen,non,
02/10/2020,T2,34,240,Lencloitre,Pro,Moyen,non,
02/10/2020,T2,31,287,Lencloitre,Pro,Moyen,non,Sous comble
24/09/2020,T2,30,250,Lencloitre,Pro,Moyen,non,
22/09/2020,T4,77,446,Mirebeau,Pro,-,-,
18/09/2020,T3,66,442,Mirebeau,Pro,-,-,
16/09/2020,T2,51,354,Neuville,Pro,Moyen,non,duplex
14/09/2020,T3,67,480,Mirebeau,Particulier,Rénové,oui,refait a neuf
07/09/2020,T1,16,221,Vouillé,Pro,Bien,non,
04/09/2020,T1,42,292,Mirebeau,Pro,-,-,
04/09/2020,T3,71,401,Mirebeau,Pro,-,-,
