plan,departement,commune,adresse,date_vente,annee_construction,nb_pieces,etage,surface_carrez,surface_utile,prix,prix_surface_carrez,prix_surface_utile
6,86,CHATELLERAULT,4 BD FELIX FAURE,06/10/2020,1967,4,3,,75,45000,,"600,00"
1,86,NEUVILLE-DE-POITOU,45 B RUE DU SGT BANGOURA MORIDE,11/09/2020,2007,2,0,48,48,71500,"1501,79","1489,58"
26,86,CHATELLERAULT,22 RUE SAINT JEAN,11/09/2020,1900,3,1,62,66,48400,"784,44","733,33"
4,86,CHATELLERAULT,52 RUE CHANOINE VILLENEUVE,04/09/2020,1982,3,1,78,79,79000,"1019,35","1000,00"
24,86,CHATELLERAULT,6 AV ROBERT SCHUMAN,31/08/2020,1974,2,5,44,44,50000,"1143,38","1136,36"
17,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,21/08/2020,2005,3,1,,54,65000,,"1203,70"
14,86,CHATELLERAULT,15 B AV MARECHAL FOCH,18/08/2020,1990,2,2,,31,34000,,"1096,77"
8,86,CHATELLERAULT,11 RUE GUILLEMOT,19/06/2020,1982,2,2,,50,45500,,"910,00"
2,86,CHATELLERAULT,39 BD ARISTIDE BRIAND,18/06/2020,1979,2,1,,56,56000,,"1000,00"
21,86,CHATELLERAULT,34 AV PIERRE ABELIN,05/06/2020,1964,4,3,,72,40000,,"555,56"
17,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,29/05/2020,2005,3,2,,62,68200,,"1100,00"
17,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,29/05/2020,2005,3,2,,62,71500,,"1153,23"
5,86,CHATELLERAULT,3 RUE DE LA CROIX ROUGE,26/05/2020,1980,1,7,,27,28000,,"1037,04"
6,86,CHATELLERAULT,8 BD FELIX FAURE,25/05/2020,1967,3,4,,66,71000,,"1075,76"
16,86,CHATELLERAULT,14 RUE MAURICE BEDEL,22/05/2020,1975,3,4,,69,105000,,"1521,74"
15,86,CHATELLERAULT,13 AV MARECHAL LECLERC,20/05/2020,1973,4,1,,78,70000,,"897,44"
22,86,CHATELLERAULT,40 AV PIERRE ABELIN,18/05/2020,1971,3,8,,65,87000,,"1338,46"
11,86,CHATELLERAULT,25 RUE GUILLEMOT,14/05/2020,1965,2,3,,49,57000,,"1163,27"
9,86,CHATELLERAULT,21 RUE GUILLEMOT,13/05/2020,1964,4,4,,70,50000,,"714,29"
24,86,CHATELLERAULT,6 AV ROBERT SCHUMAN,06/05/2020,1974,2,2,,44,40000,,"909,09"
14,86,CHATELLERAULT,13 AV MARECHAL FOCH,04/05/2020,1981,1,2,,26,41000,,"1576,92"
1,86,NEUVILLE-DE-POITOU,6 B BD JULES FERRY,14/04/2020,2007,2,0,,48,65000,,"1354,17"
18,86,CHATELLERAULT,17 RUE DES MOULINS,17/03/2020,1982,3,2,,73,83500,,"1143,84"
21,86,CHATELLERAULT,34 AV PIERRE ABELIN,12/03/2020,1964,4,1,,72,40000,,"555,56"
12,86,CHATELLERAULT,2 QUAI DU HUIT MAI,10/03/2020,1980,1,0,30,30,32500,"1089,51","1083,33"
13,86,CHATELLERAULT,39 RUE JEANNE D'ARC,10/03/2020,1994,1,0,,26,28500,,"1096,15"
25,86,CHATELLERAULT,6 RUE DE LA ROSERAIE,06/03/2020,2001,3,2,72,72,83000,"1154,22","1152,78"
23,86,CHATELLERAULT,48 AV PIERRE ABELIN,03/03/2020,1966,3,2,64,63,36560,"567,44","580,32"
10,86,CHATELLERAULT,23 RUE GUILLEMOT,27/02/2020,1965,2,0,,44,41000,,"931,82"
1,86,NEUVILLE-DE-POITOU,45 B RUE DU SGT BANGOURA MORIDE,18/02/2020,2007,2,0,48,48,71500,"1479,41","1489,58"
10,86,CHATELLERAULT,23 RUE GUILLEMOT,14/02/2020,1965,4,0,,74,75000,,"1013,51"
25,86,CHATELLERAULT,6 RUE DE LA ROSERAIE,13/02/2020,2001,3,2,,71,110000,,"1549,30"
1,86,CHATELLERAULT,52 RUE AIME RASSETEAU,11/02/2020,1985,3,1,,69,35000,,"507,25"
1,86,NEUVILLE-DE-POITOU,6 B BD JULES FERRY,07/02/2020,2007,2,1,,48,74000,,"1541,67"
3,86,CHATELLERAULT,76 BD BLOSSAC,07/02/2020,2006,3,1,75,74,81953,"1093,87","1107,47"
15,86,CHATELLERAULT,13 AV MARECHAL LECLERC,06/02/2020,1973,3,2,68,69,45000,"665,68","652,17"
5,86,CHATELLERAULT,3 RUE DE LA CROIX ROUGE,31/01/2020,1980,1,4,,27,20000,,"740,74"
19,86,CHATELLERAULT,13 RUE DE LA PAIX,31/01/2020,1981,1,5,,36,36500,,"1013,89"
20,86,CHATELLERAULT,32 AV PIERRE ABELIN,20/01/2020,1965,4,3,,68,56000,,"823,53"
17,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,16/01/2020,2005,2,2,,48,50000,,"1041,67"
7,86,CHATELLERAULT,36 AV GEORGES CLEMENCEAU,07/01/2020,1975,3,5,,59,40000,,"677,97"
1,86,NEUVILLE-DE-POITOU,6 B BD JULES FERRY,27/12/2019,2007,2,0,,48,70000,,"1458,33"
1,86,NEUVILLE-DE-POITOU,45 B RUE DU SGT BANGOURA MORIDE,23/12/2019,2007,2,1,54,55,78000,"1432,77","1418,18"
7,86,CHATELLERAULT,4 RUE JULES DUVAU,19/12/2019,1979,2,0,,56,58000,,"1035,71"
5,86,CHATELLERAULT,4 RUE JULES DUVAU,19/12/2019,1979,2,0,,56,58000,,"1035,71"
1,86,NEUVILLE-DE-POITOU,6 B BD JULES FERRY,18/12/2019,2007,2,2,48,48,60000,"1257,60","1250,00"
1,86,NEUVILLE-DE-POITOU,45 B RUE DU SGT BANGOURA MORIDE,18/12/2019,2007,2,1,47,48,66000,"1391,82","1375,00"
10,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,05/12/2019,2005,2,0,,48,45000,,"937,50"
9,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,05/12/2019,2005,2,0,,48,45000,,"937,50"
9,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,28/11/2019,2005,3,2,,54,53000,,"981,48"
9,86,CHATELLERAULT,6 RUE MAURICE VLAMINCK,28/11/2019,2005,3,1,,62,60000,,"967,74"
16,86,CHATELLERAULT,8 RUE SAINT ROMAIN,15/11/2019,1972,3,1,,58,70000,,"1206,90"
13,86,CHATELLERAULT,18 RUE DU SOUCI,14/11/2019,1991,2,0,,32,39000,,"1218,75"
13,86,CHATELLERAULT,42 AV PIERRE ABELIN,14/11/2019,1966,4,1,,74,39560,,"534,59"
17,86,CHATELLERAULT,18 RUE DU SOUCI,14/11/2019,1991,2,0,,32,39000,,"1218,75"
1,86,NEUVILLE-DE-POITOU,6 B BD JULES FERRY,13/11/2019,2007,2,0,48,48,53000,"1094,14","1104,17"
1,86,NEUVILLE-DE-POITOU,45 B RUE DU SGT BANGOURA MORIDE,12/11/2019,2007,2,0,48,48,55000,"1151,35","1145,83"
15,86,CHATELLERAULT,6 RUE DE LA ROSERAIE,23/10/2019,2001,3,0,74,69,87500,"1177,98","1268,12"
11,86,CHATELLERAULT,37 AV PIERRE ABELIN,11/10/2019,1960,3,0,57,57,37000,"646,97","649,12"
